Date;USD;EUR;CHF;CNY;GBP;JPY
03.09.2020 0:00:00;73,8588;87,7369;80,8703;10,8205;98,5793;0,695502
02.09.2020 0:00:00;73,5849;88,1547;81,634;10,7842;98,8098;0,696464
01.09.2020 0:00:00;73,8039;87,8266;81,6234;10,7682;98,1813;0,697118
29.08.2020 0:00:00;74,6382;88,7448;82,6558;10,8713;99,0971;0,7043
28.08.2020 0:00:00;75,2354;88,996;82,9406;10,9355;99,4236;0,709467
27.08.2020 0:00:00;75,5379;89,2254;83,0087;10,9601;99,3323;0,711045
26.08.2020 0:00:00;74,5126;88,059;81,855;10,7808;97,5146;0,701064
25.08.2020 0:00:00;74,4184;87,903;81,7695;10,7661;97,3765;0,703288
22.08.2020 0:00:00;74,0999;87,7343;81,4195;10,7174;97,7822;0,702302
21.08.2020 0:00:00;73,7711;87,4261;80,6506;10,657;96,4631;0,695593
20.08.2020 0:00:00;73,2392;87,4037;81,1335;10,5982;97,0346;0,694441
19.08.2020 0:00:00;73,4321;87,3401;81,0419;10,6024;96,6073;0,695215
18.08.2020 0:00:00;72,9676;86,4666;80,3431;10,511;95,4635;0,685431
15.08.2020 0:00:00;73,2157;86,4092;80,4038;10,534;95,671;0,685701
14.08.2020 0:00:00;73,6067;87,0399;80,8954;10,5994;96,2481;0,689363
13.08.2020 0:00:00;73,2351;85,956;80,0296;10,5439;95,6743;0,685947
12.08.2020 0:00:00;73,1522;85,9246;80,0527;10,5234;95,727;0,689432
11.08.2020 0:00:00;73,775;86,8258;80,6549;10,5848;96,328;0,696122
08.08.2020 0:00:00;73,6376;87,1722;80,6634;10,5798;96,4211;0,697227
07.08.2020 0:00:00;73,0397;86,6178;80,3959;10,5176;96,1714;0,691631
06.08.2020 0:00:00;73,2806;86,625;80,3163;10,5396;95,6971;0,693059
05.08.2020 0:00:00;73,3806;86,5011;80,0661;10,5091;95,813;0,692498
04.08.2020 0:00:00;74,1586;87,2253;80,8004;10,6278;97,1107;0,701098
01.08.2020 0:00:00;73,4261;87,2889;80,7946;10,5204;96,3277;0,70187
31.07.2020 0:00:00;73,3633;86,2532;80,2223;10,4724;95,2329;0,698067
30.07.2020 0:00:00;72,2348;84,912;78,9538;10,3191;93,6307;0,68877
29.07.2020 0:00:00;71,9196;84,261;78,0547;10,2631;92,4526;0,681154
28.07.2020 0:00:00;71,585;83,7759;77,9369;10,2244;91,8793;0,678692
25.07.2020 0:00:00;71,5974;83,1031;77,3524;10,2033;91,1864;0,673446
24.07.2020 0:00:00;70,963;82,1893;76,3947;10,1424;90,2224;0,662123
23.07.2020 0:00:00;70,7881;81,5904;75,8309;10,1055;89,5611;0,661788
22.07.2020 0:00:00;70,9668;81,2499;75,5529;10,1475;90,0427;0,661541
21.07.2020 0:00:00;71,9628;82,3902;76,548;10,295;90,5292;0,671577
18.07.2020 0:00:00;71,7139;81,6821;75,9762;10,2443;89,9507;0,669191
17.07.2020 0:00:00;71,231;81,2318;75,4406;10,1789;89,3522;0,665617
16.07.2020 0:00:00;70,7998;80,8392;75,5037;10,1292;89,3493;0,661835
15.07.2020 0:00:00;71,1275;80,623;75,6354;10,1334;88,9805;0,662977
14.07.2020 0:00:00;70,7479;80,0937;75,1518;10,1016;89,199;0,66067
11.07.2020 0:00:00;71,2298;80,2689;75,6557;10,1664;89,6712;0,666914
10.07.2020 0:00:00;70,88;80,4134;75,6053;10,1451;89,5994;0,660917
09.07.2020 0:00:00;71,2379;80,4062;75,6884;10,1505;89,3679;0,662647
08.07.2020 0:00:00;72,1719;81,4676;76,4695;10,2742;90,0272;0,670275
07.07.2020 0:00:00;71,3409;80,5581;75,6612;10,1424;89,0905;0,663174
04.07.2020 0:00:00;70,4999;79,2207;74,5163;9,97522;87,8711;0,656027
03.07.2020 0:00:00;70,5198;79,5181;74,7428;9,98016;88,2485;0,65664
02.07.2020 0:00:00;70,4413;79,1901;74,4623;9,97568;87,3965;0,655176
01.07.2020 0:00:00;70,4413;78,9929;74,0318;9,95806;86,5724;0,654264
30.06.2020 0:00:00;69,9513;78,6812;73,8974;9,88278;86,3619;0,652683
27.06.2020 0:00:00;69,1284;77,5413;72,9587;9,76638;85,7607;0,646332
26.06.2020 0:00:00;69,466;78,0589;73,2455;9,81408;86,4157;0,647974
25.06.2020 0:00:00;68,8376;77,759;72,8363;9,73025;85,93;0,64615
24.06.2020 0:00:00;68,8376;77,6832;72,8517;9,74292;86,0263;0,642861
23.06.2020 0:00:00;69,4835;77,8285;73,1021;9,8178;86,2846;0,649925
20.06.2020 0:00:00;69,5725;78,0047;73,2034;9,82898;86,3951;0,650545
19.06.2020 0:00:00;69,618;78,2924;73,3439;9,83166;87,1687;0,650666
18.06.2020 0:00:00;69,4822;78,3829;73,1546;9,80639;87,36;0,646797
17.06.2020 0:00:00;69,7524;79,0434;73,5397;9,84911;88,0624;0,649585
16.06.2020 0:00:00;70,395;79,1451;73,8822;9,92248;88,2613;0,655691
12.06.2020 0:00:00;69,1219;78,5225;73,4168;9,77624;87,6673;0,64609
11.06.2020 0:00:00;68,6183;77,9229;72,5045;9,71023;87,6462;0,639529
10.06.2020 0:00:00;68,6745;77,3481;71,8954;9,68802;86,9007;0,636199
09.06.2020 0:00:00;68,3123;77,1861;70,9738;9,6549;86,6883;0,623657
06.06.2020 0:00:00;68,6319;77,9658;71,7457;9,68447;86,8468;0,627951
05.06.2020 0:00:00;69,0151;77,3245;0;9,69068;86,3379;0
04.06.2020 0:00:00;68,3413;76,6243;70,9818;9,61038;86,0007;0,628397
03.06.2020 0:00:00;68,9831;76,7782;72,0074;9,70117;86,4289;0,640304
02.06.2020 0:00:00;69,7114;77,6376;72,6766;9,77322;86,4561;0,64881
30.05.2020 0:00:00;70,752;78,5489;73,4475;9,90079;87,0603;0,659539
29.05.2020 0:00:00;71,1012;78,2611;73,2624;9,93089;87,0919;0,659413
28.05.2020 0:00:00;71,0635;77,9069;73,2085;9,93312;87,465;0,660841
27.05.2020 0:00:00;71,1408;77,7854;73,341;9,96942;87,24;0,659872
26.05.2020 0:00:00;71,5962;77,8823;73,5905;10,028;87,1326;0,664528
23.05.2020 0:00:00;71,8804;78,4431;73,9815;10,0636;87,5216;0,668748
22.05.2020 0:00:00;70,924;77,7965;73,3975;9,98916;86,5556;0,65838
21.05.2020 0:00:00;72,3381;79,1813;74,6986;10,1791;88,5057;0,671694
20.05.2020 0:00:00;72,3918;79,1677;74,4312;10,1857;88,5352;0,674196
19.05.2020 0:00:00;72,9798;78,9422;75,0898;10,2583;88,4296;0,680464
16.05.2020 0:00:00;73,2056;79,1279;75,237;10,3108;89,384;0,683813
15.05.2020 0:00:00;73,9298;79,9033;76,0125;10,4206;90,2683;0,691935
14.05.2020 0:00:00;73,5819;79,7775;75,8264;10,372;90,3144;0,687585
13.05.2020 0:00:00;73,4326;79,4394;75,5479;10,3576;90,5571;0,683126
09.05.2020 0:00:00;73,8725;80,0039;75,938;10,4346;91,5059;0,694813
08.05.2020 0:00:00;74,1169;80,0611;75,994;10,4508;91,6455;0,696587
07.05.2020 0:00:00;73,9719;80,0598;75,7986;10,4265;91,5402;0,695323
01.05.2020 0:00:00;72,7263;79,1189;74,829;10,313;90,6679;0,68198
30.04.2020 0:00:00;73,6894;80,0488;75,8277;10,4153;91,7359;0,692147
29.04.2020 0:00:00;74,5706;80,7749;76,4435;10,525;92,9746;0,696629
28.04.2020 0:00:00;74,496;80,7611;76,6104;10,5159;92,5613;0,694763
25.04.2020 0:00:00;74,7163;80,2528;76,3892;10,5493;91,9309;0,694035
24.04.2020 0:00:00;75,129;81,1468;77,1662;10,6125;92,7092;0,698063
23.04.2020 0:00:00;77,0416;83,6826;79,4243;10,8759;94,8998;0,715568
22.04.2020 0:00:00;76,2562;82,616;78,5499;10,758;94,4891;0,710186
21.04.2020 0:00:00;74,6657;81,1019;77,134;10,553;92,8916;0,692889
18.04.2020 0:00:00;73,9441;80,111;76,1212;10,4488;92,0456;0,685588
17.04.2020 0:00:00;74,7119;81,2791;77,2775;10,5615;93,3301;0,693285
16.04.2020 0:00:00;73,7145;80,6731;76,4911;10,438;92,2684;0,686642
15.04.2020 0:00:00;73,315;80,1186;75,9347;10,3834;92,1203;0,68143
14.04.2020 0:00:00;73,5245;80,5387;76,1202;10,4312;91,9277;0,680877
11.04.2020 0:00:00;73,7515;80,7358;76,4185;10,4826;91,9607;0,680459
10.04.2020 0:00:00;74,605;81,0882;76,849;10,5694;92,5177;0,685047
09.04.2020 0:00:00;75,7499;82,2341;77,916;10,7178;93,233;0,696391
08.04.2020 0:00:00;75,455;82,012;77,5408;10,696;93,0662;0,693106
07.04.2020 0:00:00;76,4074;82,6346;78,1901;10,7725;93,9429;0,700247
28.03.2020 0:00:00;77,7325;85,7389;80,7191;10,9611;94,5771;0,714027
27.03.2020 0:00:00;78,7223;85,9648;80,8818;11,0961;93,8291;0,713226
26.03.2020 0:00:00;77,7928;84,1485;79,2591;10,956;92,2778;0,697537
25.03.2020 0:00:00;78,8493;85,4253;80,689;11,1405;91,82;0,712054
24.03.2020 0:00:00;80,8815;86,705;82,0466;11,3634;93,96;0,733785
21.03.2020 0:00:00;78,0443;84,1552;79,8081;11,0463;92,4981;0,710624
20.03.2020 0:00:00;80,157;87,2669;82,5;11,3037;92,4851;0,735453
19.03.2020 0:00:00;77,2131;84,8881;80,2798;10,9906;93,0263;0,719366
18.03.2020 0:00:00;73,8896;82,3056;77,754;10,5398;90,2192;0,692272
17.03.2020 0:00:00;74,1262;82,7471;78,732;10,5928;91,7015;0,697888
14.03.2020 0:00:00;73,1882;81,861;77,3905;10,4653;92,2684;0,690292
13.03.2020 0:00:00;74,0274;83,6584;79,0638;10,5985;94,7329;0,71424
12.03.2020 0:00:00;71,472;81,0207;76,457;10,2829;92,5277;0,681042
11.03.2020 0:00:00;72,0208;81,8588;77,4584;10,3666;94,052;0,690748
07.03.2020 0:00:00;67,5175;75,8424;71,6214;9,72861;87,5972;0,63777
06.03.2020 0:00:00;66,1854;73,6842;69,2026;9,53392;85,399;0,617027
05.03.2020 0:00:00;66,0784;73,7369;69,2355;9,53017;84,5011;0,615112
04.03.2020 0:00:00;66,4437;73,9385;69,335;9,51779;84,9217;0,615134
03.03.2020 0:00:00;66,3274;73,4178;68,8258;9,53363;84,8195;0,612922
29.02.2020 0:00:00;66,9909;73,7235;69,4278;9,58341;86,2307;0,615414
28.02.2020 0:00:00;65,6097;71,6458;67,5066;9,35091;84,899;0,596425
27.02.2020 0:00:00;65,5177;71,2439;67,1976;9,33593;85,0682;0,593538
26.02.2020 0:00:00;64,9213;70,4591;66,3817;9,25319;84,125;0,586965
22.02.2020 0:00:00;64,3008;69,4191;65,4594;9,13571;82,9866;0,575991
21.02.2020 0:00:00;63,7413;68,7705;64,7975;9,08488;82,2263;0,570954
20.02.2020 0:00:00;63,6873;68,7823;0;9,10625;82,8827;0
19.02.2020 0:00:00;63,7698;69,0882;65,0579;9,10373;82,7987;0,581337
18.02.2020 0:00:00;63,3085;68,6201;64,4952;9,06947;82,5796;0,576265
15.02.2020 0:00:00;63,4536;68,771;64,709;9,0909;82,7816;0,577981
14.02.2020 0:00:00;63,6016;69,1795;0;9,11159;82,5485;0
13.02.2020 0:00:00;63,047;68,7843;64,6172;9,04185;81,7657;0,573493
12.02.2020 0:00:00;63,949;69,7684;65,3675;9,16542;82,5198;0,581804
11.02.2020 0:00:00;63,7708;69,8226;65,2453;9,12994;82,1177;0,580923
08.02.2020 0:00:00;63,472;69,6288;65,0861;9,08599;82,0756;0,577622
07.02.2020 0:00:00;62,7977;69,0837;64,4608;9,00958;81,5554;0,571226
06.02.2020 0:00:00;63,1742;69,7443;65,2356;9,02489;82,4297;0,577329
05.02.2020 0:00:00;63,4342;70,1265;65,4366;9,07447;82,2678;0,581725
04.02.2020 0:00:00;63,9091;70,7921;0;9,09738;83,9766;0
01.02.2020 0:00:00;63,1385;69,5976;65,0577;9,10209;82,964;0,579119
31.01.2020 0:00:00;63,0359;69,4151;64,9185;9,0873;81,8332;0,579028
30.01.2020 0:00:00;62,3934;68,6764;64,0721;8,99468;81,1988;0,571656
