Date;USD;EUR
02.09.2020;73,5849;88,1547
01.09.2020;73,8039;87,8266
29.08.2020;74,6382;88,7448
28.08.2020;75,2354;88,996
27.08.2020;75,5379;89,2254
26.08.2020;74,5126;88,059
25.08.2020;74,4184;87,903
22.08.2020;74,0999;87,7343
21.08.2020;73,7711;87,4261
20.08.2020;73,2392;87,4037
19.08.2020;73,4321;87,3401
18.08.2020;72,9676;86,4666
15.08.2020;73,2157;86,4092
14.08.2020;73,6067;87,0399
13.08.2020;73,2351;85,956
12.08.2020;73,1522;85,9246
11.08.2020;73,775;86,8258
08.08.2020;73,6376;87,1722
07.08.2020;73,0397;86,6178
06.08.2020;73,2806;86,625
05.08.2020;73,3806;86,5011
04.08.2020;74,1586;87,2253
01.08.2020;73,4261;87,2889
31.07.2020;73,3633;86,2532
30.07.2020;72,2348;84,912
29.07.2020;71,9196;84,261
28.07.2020;71,585;83,7759
25.07.2020;71,5974;83,1031
24.07.2020;70,963;82,1893
23.07.2020;70,7881;81,5904
22.07.2020;70,9668;81,2499
21.07.2020;71,9628;82,3902
18.07.2020;71,7139;81,6821
17.07.2020;71,231;81,2318
16.07.2020;70,7998;80,8392
15.07.2020;71,1275;80,623
14.07.2020;70,7479;80,0937
11.07.2020;71,2298;80,2689
10.07.2020;70,88;80,4134
09.07.2020;71,2379;80,4062
08.07.2020;72,1719;81,4676
07.07.2020;71,3409;80,5581
04.07.2020;70,4999;79,2207
03.07.2020;70,5198;79,5181
02.07.2020;70,4413;79,1901
01.07.2020;70,4413;78,9929
30.06.2020;69,9513;78,6812
27.06.2020;69,1284;77,5413
26.06.2020;69,466;78,0589
25.06.2020;68,8376;77,759
24.06.2020;68,8376;77,6832
23.06.2020;69,4835;77,8285
20.06.2020;69,5725;78,0047
19.06.2020;69,618;78,2924
18.06.2020;69,4822;78,3829
17.06.2020;69,7524;79,0434
16.06.2020;70,395;79,1451
12.06.2020;69,1219;78,5225
11.06.2020;68,6183;77,9229
10.06.2020;68,6745;77,3481
09.06.2020;68,3123;77,1861
06.06.2020;68,6319;77,9658
05.06.2020;69,0151;77,3245
04.06.2020;68,3413;76,6243
03.06.2020;68,9831;76,7782
02.06.2020;69,7114;77,6376
30.05.2020;70,752;78,5489
29.05.2020;71,1012;78,2611
28.05.2020;71,0635;77,9069
27.05.2020;71,1408;77,7854
26.05.2020;71,5962;77,8823
23.05.2020;71,8804;78,4431
22.05.2020;70,924;77,7965
21.05.2020;72,3381;79,1813
20.05.2020;72,3918;79,1677
19.05.2020;72,9798;78,9422
16.05.2020;73,2056;79,1279
15.05.2020;73,9298;79,9033
14.05.2020;73,5819;79,7775
13.05.2020;73,4326;79,4394
09.05.2020;73,8725;80,0039
08.05.2020;74,1169;80,0611
07.05.2020;73,9719;80,0598
01.05.2020;72,7263;79,1189
30.04.2020;73,6894;80,0488
29.04.2020;74,5706;80,7749
28.04.2020;74,496;80,7611
25.04.2020;74,7163;80,2528
24.04.2020;75,129;81,1468
23.04.2020;77,0416;83,6826
22.04.2020;76,2562;82,616
21.04.2020;74,6657;81,1019
18.04.2020;73,9441;80,111
17.04.2020;74,7119;81,2791
16.04.2020;73,7145;80,6731
15.04.2020;73,315;80,1186
14.04.2020;73,5245;80,5387
11.04.2020;73,7515;80,7358
10.04.2020;74,605;81,0882
09.04.2020;75,7499;82,2341
08.04.2020;75,455;82,012
07.04.2020;76,4074;82,6346
28.03.2020;77,7325;85,7389
27.03.2020;78,7223;85,9648
26.03.2020;77,7928;84,1485
25.03.2020;78,8493;85,4253
24.03.2020;80,8815;86,705
21.03.2020;78,0443;84,1552
20.03.2020;80,157;87,2669
19.03.2020;77,2131;84,8881
18.03.2020;73,8896;82,3056
17.03.2020;74,1262;82,7471
14.03.2020;73,1882;81,861
13.03.2020;74,0274;83,6584
12.03.2020;71,472;81,0207
11.03.2020;72,0208;81,8588
07.03.2020;67,5175;75,8424
06.03.2020;66,1854;73,6842
05.03.2020;66,0784;73,7369
04.03.2020;66,4437;73,9385
03.03.2020;66,3274;73,4178
