64 тона;39 тонов;38 тонов;Частота (Гц)
1;;;33.0
2;;;35.4
3;;;36.6
4;;;37.9
5;;;39.6
6;;;44.4
7;;;47.5
8;;;49.2
9;;;51.2
10;;;53.0
11;;;54.9
12;;;56.8
13;;;58.8
14;;;63.0
15;1;1;67.0
16;2;;69.4
17;3;2;71.9
18;4;3;74.4
19;5;4;77.0
20;6;5;79.7
21;7;6;82.5
22;8;7;85.4
23;9;8;88.5
24;10;9;91.5
25;11;10;94.8
26;12;11;97.4
27;13;12;100.0
28;14;13;103.5
29;15;14;107.2
30;16;15;110.9
31;17;16;114.8
32;18;17;118.8
33;19;18;123.0
34;20;19;127.3
35;21;20;131.8
36;22;21;136.5
37;23;22;141.3
38;24;23;146.2
39;25;24;151.4
40;26;25;156.7
41;;;159.8
42;27;26;162.2
43;;;165.5
44;28;27;167.9
45;;;171.3
46;29;28;173.8
47;;;177.3
48;30;29;179.9
49;;;183.5
50;31;30;186.2
51;;;189.9
52;32;31;192.8
53;;;196.6
54;;;199.5
55;33;32;203.5
56;;;206.5
57;34;33;210.7
58;35;34;218.1
59;36;35;225.7
60;;;229.1
61;37;36;233.6
62;38;37;241.8
63;39;38;250.3
64;;;254.1
